time,temp,press,hum
2019-11-12 00:00,19.6451934710145,1007.1495444064142,60.954885041847
2019-11-12 01:00,19.60952659533941,1007.2289720397146,60.63842878831151
2019-11-12 02:00,19.53309762405697,1007.7113248988654,60.550426895946714
2019-11-12 03:00,19.079620408039773,1007.5148949032991,60.3426154550742
2019-11-12 04:00,19.314001602638747,1008.6766629097849,60.84763066316088
2019-11-12 05:00,19.08471564485226,1009.5136988625231,60.73557378702005
2019-11-12 06:00,18.70257369154715,1010.6490953524865,61.26908061566917
2019-11-12 07:00,18.447813298838447,1011.5246272727188,61.93423480041379
2019-11-12 08:00,18.29495741245919,1012.4029276053005,60.38389743750187
2019-11-12 09:00,18.340814150869846,1013.0314465297255,53.33277468407667
2019-11-12 10:00,18.957334811851617,1013.6976519354861,49.8243553966662
2019-11-12 11:00,19.650288740132236,1013.6328625667943,47.52510897011498
2019-11-12 12:00,20.28210436627851,1013.2704823409555,46.191178346602506
2019-11-12 13:00,21.19416868686676,1013.1765040424607,45.19601305068678
2019-11-12 14:00,22.126623973116512,1013.5848686109373,43.258632488761265
2019-11-12 15:00,22.957179784798065,1014.4617594499176,41.69840021991429
2019-11-12 16:00,23.441249622084435,1015.2646525369677,41.74050273476573
2019-11-12 17:00,23.18647569609457,1015.8717522935781,41.43501880897123
2019-11-12 18:00,22.646357379300753,1017.3943607289195,39.78399395230829
2019-11-12 19:00,22.08076528853271,1018.1761532981857,42.39955845885924
2019-11-12 20:00,21.632370503642598,1019.0674144918058,43.33105211854031
2019-11-12 21:00,21.189073329564415,1019.4934284009086,46.07833809339533
2019-11-12 22:00,21.005640660511563,1020.0193643817058,53.517985657478675
2019-11-12 23:00,20.92411515089334,1020.1327909719699,52.22914993667684
